[2026-04-10 13:26:35] [INFO] Zappy Client starting...
[2026-04-10 13:26:35] [INFO] Team: team1
[2026-04-10 13:26:35] [INFO] Target Level: 8
[2026-04-10 13:26:35] [INFO] Fork enabled: yes
[2026-04-10 13:26:35] [INFO] Connecting to localhost:8674
[2026-04-10 13:26:35] [WARN] TLS: Certificate verification disabled (insecure mode)
[2026-04-10 13:26:35] [INFO] TLS context initialized successfully
[2026-04-10 13:26:35] [INFO] WebSocket: Starting connection to localhost:8674
[2026-04-10 13:26:35] [INFO] TLS handshake completed successfully
[2026-04-10 13:26:35] [INFO] WebSocket: HTTP 101 Upgrade successful
[2026-04-10 13:26:35] [INFO] WebSocket: Handshake complete, connection established
[2026-04-10 13:26:35] [INFO] Websocket connected
[2026-04-10 13:26:35] [INFO] Received bienvenue: {"type":"bienvenue","msg":"Whoa! Knock knock, whos there?"}
[2026-04-10 13:26:35] [INFO] Map size: 10x10
[2026-04-10 13:26:35] [INFO] Remaining team slots: 8
[2026-04-10 13:26:35] [INFO] Login successful! {"type":"welcome","remaining_clients":8,"map_size":{"x":10,"y":10}}
[2026-04-10 13:26:35] [INFO] Successfully logged in as team1
[2026-04-10 13:26:35] [INFO] Connected! Starting main loop...
[2026-04-10 13:26:35] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:35] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:26:36] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:36] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:37] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:37] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:38] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:38] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:39] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:39] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:39] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:40] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:41] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:41] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:41] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:42] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:43] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:43] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:44] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:44] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:44] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:26:45] [INFO] AI: Need 1 stones for next level
